Year,Trade Flow,Reporter Code,Reporter,exportLat,exportLong,Reporter ISO,Partner Code,Partner,importLat,importLong,Partner ISO,Commodity,Qty Unit,Qty,Netweight (kg),Trade Value (US$)
2020,Export,842,USA,37.09024,-95.712891,USA,440,Lithuania,55.169438,23.881275,LTU,"Waste, parings and scrap, of plastics",Weight in kilograms,217373,217373,58062
2020,Import,842,USA,37.09024,-95.712891,USA,642,Romania,45.943161,24.96676,ROU,"Waste, parings and scrap, of plastics",Weight in kilograms,214844,214844,71497
2020,Import,842,USA,37.09024,-95.712891,USA,170,Colombia,4.570868,-74.297333,COL,"Waste, parings and scrap, of plastics",Weight in kilograms,214707,214707,186041
2020,Import,842,USA,37.09024,-95.712891,USA,376,Israel,31.046051,34.851612,ISR,"Waste, parings and scrap, of plastics",Weight in kilograms,197347,197347,140023
2020,Import,842,USA,37.09024,-95.712891,USA,144,Sri Lanka,7.873054,80.771797,LKA,"Waste, parings and scrap, of plastics",Weight in kilograms,190501,190501,128686
2020,Import,842,USA,37.09024,-95.712891,USA,300,Greece,39.074208,21.824312,GRC,"Waste, parings and scrap, of plastics",Weight in kilograms,190408,190408,86163
2020,Export,842,USA,37.09024,-95.712891,USA,196,Cyprus,35.126413,33.429859,CYP,"Waste, parings and scrap, of plastics",Weight in kilograms,184944,184944,56250
2020,Import,842,USA,37.09024,-95.712891,USA,233,Estonia,58.595272,25.0136071,EST,"Waste, parings and scrap, of plastics",Weight in kilograms,173837,173837,73778
2020,Export,842,USA,37.09024,-95.712891,USA,392,Japan,36.204824,138.252924,JPN,"Waste, parings and scrap, of plastics",Weight in kilograms,172597,172597,1074476
2020,Export,842,USA,37.09024,-95.712891,USA,262,Djibouti,11.825138,42.590275,DJI,"Waste, parings and scrap, of plastics",Weight in kilograms,156630,156630,15663
2020,Export,842,USA,37.09024,-95.712891,USA,818,Egypt,26.820553,30.802498,EGY,"Waste, parings and scrap, of plastics",Weight in kilograms,150790,150790,67676
2020,Import,842,USA,37.09024,-95.712891,USA,188,Costa Rica,9.748917,-83.753428,CRI,"Waste, parings and scrap, of plastics",Weight in kilograms,142162,142162,91948
2020,Import,842,USA,37.09024,-95.712891,USA,104,Myanmar,21.916221,95.955974,MMR,"Waste, parings and scrap, of plastics",Weight in kilograms,141000,141000,63831
2020,Export,842,USA,37.09024,-95.712891,USA,558,Nicaragua,12.865416,-85.207229,NIC,"Waste, parings and scrap, of plastics",Weight in kilograms,139355,139355,68482
2020,Import,842,USA,37.09024,-95.712891,USA,804,Ukraine,48.379433,31.1655799,UKR,"Waste, parings and scrap, of plastics",Weight in kilograms,139012,139012,70267
2020,Export,842,USA,37.09024,-95.712891,USA,705,Slovenia,46.151241,14.995463,SVN,"Waste, parings and scrap, of plastics",Weight in kilograms,112537,112537,78000
2020,Import,842,USA,37.09024,-95.712891,USA,404,Kenya,-0.023559,37.906193,KEN,"Waste, parings and scrap, of plastics",Weight in kilograms,99100,99100,59068
2020,Export,842,USA,37.09024,-95.712891,USA,620,Portugal,39.399872,-8.224454,PRT,"Waste, parings and scrap, of plastics",Weight in kilograms,94355,94355,29867
2020,Export,842,USA,37.09024,-95.712891,USA,231,Ethiopia,9.145,40.489673,ETH,"Waste, parings and scrap, of plastics",Weight in kilograms,89954,89954,31769
2020,Export,842,USA,37.09024,-95.712891,USA,682,Saudi Arabia,23.885942,45.079162,SAU,"Waste, parings and scrap, of plastics",Weight in kilograms,85739,85739,21542
2020,Import,842,USA,37.09024,-95.712891,USA,288,Ghana,7.946527,-1.023194,GHA,"Waste, parings and scrap, of plastics",Weight in kilograms,78218,78218,34804
2020,Export,842,USA,37.09024,-95.712891,USA,862,Venezuela,6.42375,-66.58973,VEN,"Waste, parings and scrap, of plastics",Weight in kilograms,74349,74349,51144
2020,Export,842,USA,37.09024,-95.712891,USA,180,Dem. Rep. of the Congo,-4.038333,21.758664,COD,"Waste, parings and scrap, of plastics",Weight in kilograms,73270,73270,35160
2020,Export,842,USA,37.09024,-95.712891,USA,784,United Arab Emirates,23.424076,53.847818,ARE,"Waste, parings and scrap, of plastics",Weight in kilograms,69816,69816,60162
2020,Import,842,USA,37.09024,-95.712891,USA,784,United Arab Emirates,23.424076,53.847818,ARE,"Waste, parings and scrap, of plastics",Weight in kilograms,67140,67140,36659
2020,Import,842,USA,37.09024,-95.712891,USA,246,Finland,61.92411,25.7481511,FIN,"Waste, parings and scrap, of plastics",Weight in kilograms,66148,66148,63517
2020,Export,842,USA,37.09024,-95.712891,USA,203,Czechia,49.817492,15.472962,CZE,"Waste, parings and scrap, of plastics",Weight in kilograms,64985,64985,773165
2020,Import,842,USA,37.09024,-95.712891,USA,757,Switzerland,46.818188,8.227512,CHE,"Waste, parings and scrap, of plastics",Weight in kilograms,61789,61789,48717
2020,Export,842,USA,37.09024,-95.712891,USA,136,Cayman Isds,19.3133,-81.2546,CYM,"Waste, parings and scrap, of plastics",Weight in kilograms,52513,52513,372608
2020,Import,842,USA,37.09024,-95.712891,USA,688,Serbia,44.016521,21.005859,SRB,"Waste, parings and scrap, of plastics",Weight in kilograms,51812,51812,157870
2020,Export,842,USA,37.09024,-95.712891,USA,757,Switzerland,46.818188,8.227512,CHE,"Waste, parings and scrap, of plastics",Weight in kilograms,45385,45385,60141
2020,Import,842,USA,37.09024,-95.712891,USA,136,Cayman Isds,19.3133,-81.2546,CYM,"Waste, parings and scrap, of plastics",Weight in kilograms,44211,44211,540
2020,Import,842,USA,37.09024,-95.712891,USA,84,Belize,17.189877,-88.49765,BLZ,"Waste, parings and scrap, of plastics",Weight in kilograms,43757,43757,16831
2020,Export,842,USA,37.09024,-95.712891,USA,388,Jamaica,18.109581,-77.297508,JAM,"Waste, parings and scrap, of plastics",Weight in kilograms,40566,40566,45585
2020,Import,842,USA,37.09024,-95.712891,USA,328,Guyana,4.860416,-58.93018,GUY,"Waste, parings and scrap, of plastics",Weight in kilograms,39669,39669,20508
2020,Import,842,USA,37.09024,-95.712891,USA,586,Pakistan,30.375321,69.345116,PAK,"Waste, parings and scrap, of plastics",Weight in kilograms,39040,39040,40296
2020,Import,842,USA,37.09024,-95.712891,USA,52,Barbados,13.193887,-59.543198,BRB,"Waste, parings and scrap, of plastics",Weight in kilograms,36078,36078,10415
2020,Export,842,USA,37.09024,-95.712891,USA,24,Angola,-11.202692,17.873887,AGO,"Waste, parings and scrap, of plastics",Weight in kilograms,35626,35626,7500
